@RELATION censusIncome

@ATTRIBUTE ﻿age REAL
@ATTRIBUTE workclass {0,1,2,3,4,5,6}
@ATTRIBUTE education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@ATTRIBUTE education-num {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@ATTRIBUTE marital-status {1,2,3,4,5,6,7}
@ATTRIBUTE occupation REAL
@ATTRIBUTE race {0,1,2,3,4}
@ATTRIBUTE sex {0,1}
@ATTRIBUTE hours-per-week REAL
@ATTRIBUTE native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39}
@ATTRIBUTE earnings {<=50K,>50K}

@DATA
35,2,3,9,1,4,0,0,50,0,>50K
46,1,3,9,1,3,4,0,60,0,>50K
69,2,0,13,1,4,0,0,45,0,>50K
31,0,0,13,1,3,0,0,40,0,>50K
37,4,0,13,1,12,0,0,40,0,>50K
37,0,3,9,1,3,0,0,60,0,>50K
31,0,3,9,1,8,2,0,40,0,>50K
46,0,0,13,3,4,0,0,55,0,>50K
46,0,10,14,1,4,0,0,55,0,>50K
33,1,0,13,1,1,0,0,40,0,>50K
33,0,3,9,1,3,0,0,40,0,>50K
53,3,3,9,1,8,0,1,35,0,>50K
45,0,3,9,2,1,1,0,40,0,>50K
34,0,0,13,1,5,0,0,40,0,>50K
36,0,0,13,1,3,0,0,40,0,>50K
41,1,4,15,1,5,0,0,60,0,>50K
47,5,10,14,1,5,0,0,38,0,>50K
29,0,1,10,3,2,0,1,41,0,>50K
42,0,13,16,3,5,0,0,36,0,>50K
36,0,0,13,1,5,0,0,45,0,>50K
57,0,0,13,1,3,0,0,40,0,>50K
35,0,1,10,1,3,0,0,55,0,>50K
34,2,1,10,1,3,0,0,60,0,>50K
44,0,0,13,1,4,4,0,35,0,>50K
45,0,6,11,1,7,0,0,40,0,>50K
28,0,0,13,1,4,0,1,50,0,>50K
30,0,1,10,1,7,0,0,40,0,>50K
40,0,5,12,1,4,0,0,50,0,>50K
37,0,3,9,1,10,0,0,40,0,>50K
30,1,1,10,1,8,0,1,55,0,>50K
32,0,4,15,1,5,1,1,50,0,>50K
43,0,6,11,1,4,0,0,48,0,>50K
38,4,0,13,1,4,4,0,50,0,>50K
55,4,3,9,2,8,0,1,40,0,>50K
90,0,0,13,1,3,0,0,15,0,>50K
44,0,3,9,1,1,0,0,40,0,>50K
63,2,1,10,1,4,0,0,45,0,>50K
34,1,4,15,3,5,0,1,60,0,>50K
47,0,10,14,1,4,0,0,65,0,>50K
42,2,3,9,1,3,0,0,43,0,>50K
32,0,4,15,1,5,0,0,60,0,>50K
43,0,0,13,2,3,0,0,44,0,>50K
29,0,1,10,1,1,4,0,40,18,>50K
41,0,1,10,1,1,0,0,40,0,>50K
58,0,0,13,1,7,0,0,40,0,>50K
32,0,0,13,1,4,0,0,45,0,>50K
46,5,4,15,3,5,0,1,55,0,>50K
62,0,3,9,1,10,0,0,40,0,>50K
56,0,0,13,1,3,4,0,45,0,>50K
37,0,1,10,2,4,1,1,40,8,>50K
34,1,0,13,1,3,0,0,60,0,>50K
45,0,3,9,1,3,0,0,50,0,>50K
30,0,1,10,1,7,0,0,40,0,>50K
51,1,3,9,1,4,0,0,45,0,>50K
38,0,6,11,1,3,0,0,40,0,>50K
47,0,1,10,1,4,0,0,50,0,>50K
43,0,3,9,1,1,0,0,40,0,>50K
41,0,1,10,1,1,0,0,40,0,>50K
25,0,3,9,1,10,0,0,44,0,>50K
50,0,0,13,1,0,0,0,40,0,>50K
44,0,3,9,1,1,0,0,40,0,>50K
41,0,4,15,1,5,0,0,50,0,>50K
24,0,1,10,1,8,0,0,40,0,>50K
34,1,4,15,1,5,0,0,60,0,>50K
46,5,0,13,1,4,0,0,40,0,>50K
29,0,6,11,1,9,0,0,40,0,>50K
58,0,0,13,1,4,0,0,45,0,>50K
37,1,0,13,1,4,3,0,50,3,>50K
39,2,0,13,1,4,0,0,60,0,>50K
56,0,0,13,2,4,0,0,45,0,>50K
59,0,10,14,1,4,0,0,40,0,>50K
58,2,1,10,1,4,0,0,50,0,>50K
39,1,5,12,1,8,0,1,40,0,>50K
41,0,10,14,1,4,0,0,50,0,>50K
54,1,10,14,1,3,0,0,45,0,>50K
47,3,1,10,1,8,4,0,40,0,>50K
52,0,0,13,1,5,4,0,40,0,>50K
68,0,13,16,1,5,0,0,55,0,>50K
29,0,1,10,1,1,0,0,40,0,>50K
40,0,10,14,1,4,0,0,50,0,>50K
51,1,10,14,2,5,0,0,60,0,>50K
38,4,3,9,1,1,0,0,50,0,>50K
70,0,3,9,1,6,0,0,40,0,>50K
44,4,4,15,3,5,0,0,40,0,>50K
37,0,10,14,1,4,0,0,55,36,>50K
47,3,3,9,1,1,0,0,40,0,>50K
34,0,3,9,1,2,0,1,40,0,>50K
51,4,0,13,1,5,0,0,40,0,>50K
38,0,1,10,5,4,0,1,40,0,>50K
34,0,1,10,1,6,0,0,40,0,>50K
36,0,6,11,1,8,0,0,40,0,>50K
32,0,0,13,1,4,0,0,60,0,>50K
54,0,3,9,1,1,0,0,44,0,>50K
46,0,1,10,1,3,0,0,48,0,>50K
32,0,0,13,1,5,0,0,50,0,>50K
37,0,1,10,1,2,0,0,40,0,>50K
44,1,1,10,1,2,0,0,40,0,>50K
39,5,13,16,1,5,0,0,50,0,>50K
47,0,0,13,1,3,0,0,40,0,>50K
35,0,4,15,1,5,0,0,75,0,>50K
60,1,8,4,1,10,0,0,40,0,>50K
37,0,0,13,1,0,0,0,50,0,>50K
48,3,3,9,1,8,4,0,50,0,>50K
28,1,10,14,1,4,0,1,30,0,>50K
58,5,3,9,1,8,4,0,40,0,>50K
47,0,0,13,1,4,0,0,45,0,>50K
50,0,0,13,1,4,0,0,40,0,>50K
41,0,10,14,3,5,0,1,35,0,>50K
46,0,0,13,1,3,0,0,40,0,>50K
60,5,0,13,1,4,0,0,40,0,>50K
39,3,1,10,1,6,0,0,60,0,>50K
38,0,3,9,1,3,4,0,40,0,>50K
41,0,0,13,1,1,0,0,55,0,>50K
38,0,5,12,3,7,4,1,50,0,>50K
35,5,3,9,1,1,0,0,40,0,>50K
58,3,1,10,1,8,0,0,40,0,>50K
59,1,3,9,1,3,0,0,40,2,>50K
34,4,1,10,1,4,0,0,40,0,>50K
36,0,3,9,1,0,0,0,45,0,>50K
35,0,0,13,1,5,0,0,50,0,>50K
59,1,0,13,1,4,0,0,40,0,>50K
31,0,3,9,1,7,0,1,40,0,>50K
52,0,10,14,1,4,0,0,50,9,>50K
43,0,0,13,1,3,0,0,45,0,>50K
50,0,3,9,2,1,0,0,40,0,>50K
35,2,1,10,1,3,0,0,50,0,>50K
52,0,13,16,3,4,0,0,40,0,>50K
34,0,0,13,1,4,0,0,50,0,>50K
49,0,10,14,1,4,0,0,45,0,>50K
59,0,1,10,1,8,0,1,14,12,>50K
41,5,13,16,1,5,0,0,40,0,>50K
62,0,3,9,1,7,0,0,40,0,>50K
58,0,0,13,1,5,0,0,40,0,>50K
53,0,1,10,1,4,0,0,40,0,>50K
43,1,3,9,1,4,0,0,35,0,>50K
46,0,10,14,1,4,0,0,50,0,>50K
38,0,3,9,1,1,0,0,40,0,>50K
50,4,0,13,1,5,0,0,45,0,>50K
42,3,0,13,1,4,0,0,52,0,>50K
62,0,0,13,1,8,0,1,30,0,>50K
54,0,0,13,1,5,0,0,40,0,>50K
58,0,12,6,1,10,0,0,40,0,>50K
55,0,1,10,1,1,0,0,40,0,>50K
32,0,0,13,1,4,0,0,40,0,>50K
45,4,10,14,1,5,4,0,10,0,>50K
47,0,3,9,1,4,0,0,49,0,>50K
40,5,10,14,1,5,0,1,37,0,>50K
32,1,0,13,1,5,0,1,8,0,>50K
46,0,0,13,1,4,0,0,44,0,>50K
52,0,1,10,1,8,0,0,40,0,>50K
33,0,0,13,1,5,0,0,25,0,>50K
43,5,3,9,1,10,0,0,38,0,>50K
40,0,3,9,1,3,0,0,72,0,>50K
33,0,3,9,1,4,0,1,42,4,>50K
40,2,10,14,1,3,0,0,70,0,>50K
58,4,10,14,1,5,0,0,40,0,>50K
28,0,5,12,1,0,0,0,45,0,>50K
47,1,1,10,1,8,0,1,35,0,>50K
56,0,0,13,3,4,0,1,45,0,>50K
65,0,3,9,1,4,0,0,40,0,>50K
53,4,10,14,2,5,4,1,40,0,>50K
45,5,10,14,1,5,0,0,60,0,>50K
43,4,10,14,3,0,4,1,47,0,>50K
37,0,0,13,1,5,0,0,40,0,>50K
55,0,0,13,1,3,0,0,50,0,>50K
49,0,1,10,2,5,0,0,45,0,>50K
43,0,10,14,1,4,0,0,35,0,>50K
42,0,0,13,1,4,0,0,60,0,>50K
46,0,0,13,1,4,0,0,55,0,>50K
43,0,0,13,1,6,4,0,40,28,>50K
39,0,3,9,1,4,0,0,40,0,>50K
44,0,5,12,1,4,0,0,45,0,>50K
37,4,1,10,1,8,0,0,40,4,>50K
35,0,4,15,1,5,0,0,45,0,>50K
37,5,0,13,3,8,0,1,40,0,>50K
49,1,4,15,1,5,0,0,35,0,>50K
70,1,0,13,1,1,0,0,12,0,>50K
58,5,0,13,1,8,0,0,35,0,>50K
51,0,1,10,1,3,0,0,40,0,>50K
22,5,9,8,3,4,0,0,50,0,>50K
26,0,0,13,1,3,0,1,42,0,>50K
24,0,0,13,1,5,0,0,44,0,>50K
24,0,0,13,1,4,0,1,45,0,>50K
49,1,4,15,1,5,0,0,85,0,>50K
52,0,5,12,1,0,0,0,40,0,>50K
48,2,0,13,1,4,0,0,50,0,>50K
62,0,1,10,1,8,0,1,38,0,>50K
35,0,0,13,3,4,0,0,45,0,>50K
61,0,1,10,1,4,0,0,45,0,>50K
27,0,3,9,1,6,4,0,80,0,>50K
44,0,4,15,1,5,0,0,29,0,>50K
38,0,10,14,3,4,0,1,50,0,>50K
44,4,5,12,2,12,0,1,56,0,>50K
30,0,3,9,1,10,0,0,40,0,>50K
37,4,3,9,1,12,0,0,35,0,>50K
44,1,4,15,1,5,0,0,40,0,>50K
34,0,0,13,1,4,0,0,45,0,>50K
57,0,0,13,1,5,0,0,40,0,>50K
34,0,3,9,4,8,0,0,40,0,>50K
61,0,1,10,1,3,0,0,40,0,>50K
49,3,6,11,1,1,1,0,40,0,>50K
36,0,0,13,1,5,0,0,48,0,>50K
49,0,1,10,1,4,0,0,45,0,>50K
36,0,1,10,1,4,0,0,50,0,>50K
44,4,10,14,1,5,0,1,40,0,>50K
45,0,10,14,1,4,0,0,50,0,>50K
40,1,4,15,1,5,0,0,45,0,>50K
34,0,13,16,3,5,0,0,50,0,>50K
37,4,5,12,1,5,0,0,45,4,>50K
25,0,6,11,1,3,0,1,42,0,>50K
63,0,10,14,2,4,0,1,40,0,>50K
33,0,0,13,1,8,0,0,60,13,>50K
51,4,10,14,1,5,0,1,40,0,>50K
64,5,13,16,1,5,0,0,50,29,>50K
29,0,3,9,1,6,0,1,40,20,>50K
46,2,0,13,1,3,0,0,70,0,>50K
29,1,1,10,1,1,2,0,60,0,>50K
53,0,3,9,1,7,0,0,40,0,>50K
32,0,10,14,1,3,0,1,45,0,>50K
61,1,4,15,1,5,0,0,50,2,>50K
44,0,1,10,1,3,1,0,40,0,>50K
37,0,1,10,1,3,0,0,44,0,>50K
36,0,0,13,1,4,0,0,40,0,>50K
63,3,10,14,2,5,0,0,40,0,>50K
47,4,10,14,1,4,0,0,41,0,>50K
55,2,3,9,2,3,0,1,50,0,>50K
58,0,0,13,2,8,0,1,40,0,>50K
50,2,10,14,2,4,0,0,80,0,>50K
59,0,1,10,1,1,0,0,50,0,>50K
50,4,0,13,2,12,0,0,40,0,>50K
43,0,3,9,1,4,0,0,45,0,>50K
37,0,5,12,1,4,0,0,65,0,>50K
49,0,1,10,1,1,0,0,40,0,>50K
44,0,0,13,1,4,0,0,40,0,>50K
34,0,0,13,1,4,0,0,40,0,>50K
37,0,3,9,1,10,0,0,50,0,>50K
47,1,0,13,3,4,4,0,45,0,>50K
44,0,3,9,2,1,0,0,40,0,>50K
51,0,7,5,1,1,0,0,50,0,>50K
33,0,0,13,3,0,0,1,45,0,>50K
43,3,4,15,1,5,1,0,50,7,>50K
37,1,3,9,1,5,0,1,35,0,>50K
63,0,0,13,1,3,0,0,40,13,>50K
48,0,0,13,2,2,0,1,56,0,>50K
32,0,3,9,1,3,0,0,55,0,>50K
48,1,3,9,2,1,0,0,60,0,>50K
40,0,3,9,1,10,4,0,40,0,>50K
47,0,0,13,1,5,0,0,60,0,>50K
40,0,0,13,1,4,0,0,50,0,>50K
43,4,10,14,2,5,4,1,40,0,>50K
38,0,1,10,1,3,0,0,60,0,>50K
54,0,1,10,1,1,0,0,40,0,>50K
49,2,10,14,4,4,0,0,70,0,>50K
68,0,0,13,1,5,0,0,55,0,>50K
56,0,3,9,1,3,0,0,40,0,>50K
35,0,0,13,1,5,0,0,45,0,>50K
28,0,3,9,2,3,2,0,40,0,>50K
49,4,7,5,5,6,0,0,40,0,>50K
33,2,13,16,1,5,0,0,40,12,>50K
32,0,1,10,1,4,0,0,40,0,>50K
52,0,3,9,1,10,0,0,85,0,>50K
36,0,5,12,1,0,0,0,40,0,>50K
50,0,3,9,5,3,0,1,72,0,>50K
71,0,4,15,1,5,0,0,12,0,>50K
57,0,0,13,1,4,0,0,50,0,>50K
34,0,0,13,1,5,0,1,36,0,>50K
50,0,12,6,1,1,0,0,40,0,>50K
51,0,1,10,1,1,0,0,40,0,>50K
43,5,13,16,6,5,0,0,64,0,>50K
41,0,1,10,1,10,0,0,65,0,>50K
45,5,1,10,1,5,0,0,40,0,>50K
28,0,0,13,1,4,0,1,60,0,>50K
50,4,10,14,1,5,0,1,40,0,>50K
36,1,0,13,1,5,0,0,45,0,>50K
51,0,3,9,1,9,0,0,80,0,>50K
51,0,3,9,3,1,0,0,40,0,>50K
51,2,0,13,1,4,0,0,40,0,>50K
28,0,0,13,1,4,0,0,40,0,>50K
58,0,1,10,1,8,0,1,40,0,>50K
59,0,5,12,1,1,0,0,20,0,>50K
54,0,0,13,1,4,0,0,40,0,>50K
38,0,1,10,1,1,0,0,40,0,>50K
36,0,10,14,1,4,0,0,50,0,>50K
49,1,3,9,2,3,0,0,50,0,>50K
50,1,13,16,2,5,0,1,60,0,>50K
60,0,10,14,1,4,0,0,50,0,>50K
43,2,13,16,1,5,0,1,70,0,>50K
48,1,1,10,1,9,0,0,60,0,>50K
56,0,0,13,3,4,0,0,45,0,>50K
28,4,5,12,1,12,1,0,40,39,>50K
39,1,3,9,1,1,0,0,40,0,>50K
59,0,1,10,1,5,0,0,36,0,>50K
43,0,3,9,1,1,0,0,40,0,>50K
45,0,1,10,1,1,0,0,55,0,>50K
34,0,1,10,1,4,0,0,40,0,>50K
55,2,1,10,1,3,0,0,40,0,>50K
42,0,0,13,1,2,1,0,72,15,>50K
44,5,0,13,1,12,0,0,44,0,>50K
34,1,3,9,1,5,0,0,40,0,>50K
54,0,0,13,1,4,1,0,60,10,>50K
28,0,1,10,1,0,0,0,40,0,>50K
37,0,3,9,1,3,0,0,50,0,>50K
31,0,0,13,1,4,0,0,45,0,>50K
52,0,6,11,1,4,0,0,45,0,>50K
74,1,3,9,1,3,0,0,40,0,>50K
52,0,11,2,1,9,0,0,56,20,>50K
27,0,3,9,1,7,0,0,50,0,>50K
47,2,0,13,1,4,0,0,45,0,>50K
40,1,4,15,1,5,2,0,60,0,>50K
63,3,1,10,1,0,0,0,18,0,>50K
51,3,13,16,1,5,0,0,52,0,>50K
54,0,10,14,1,4,0,0,45,0,>50K
59,0,12,6,1,10,4,0,40,0,>50K
42,0,3,9,1,0,1,0,40,0,>50K
37,0,6,11,1,1,0,0,45,0,>50K
46,0,10,14,6,4,0,0,70,0,>50K
35,3,1,10,1,12,4,0,40,0,>50K
43,0,3,9,1,8,0,1,40,0,>50K
40,0,4,15,1,5,0,0,40,0,>50K
48,1,4,15,2,5,0,0,63,0,>50K
37,5,0,13,1,5,0,0,36,0,>50K
36,0,0,13,1,1,0,0,48,0,>50K
33,1,14,3,1,1,0,0,50,0,>50K
31,1,6,11,1,9,0,0,60,0,>50K
44,0,0,13,2,4,0,0,50,0,>50K
47,3,0,13,1,12,4,0,50,0,>50K
29,0,3,9,1,1,0,0,45,0,>50K
45,0,3,9,1,3,0,0,60,0,>50K
33,1,0,13,1,5,4,0,25,0,>50K
32,0,0,13,1,3,0,0,60,0,>50K
42,0,1,10,1,5,0,0,40,0,>50K
49,0,1,10,4,4,0,1,45,0,>50K
46,4,5,12,1,12,0,0,49,0,>50K
31,4,3,9,1,12,0,0,41,0,>50K
34,0,10,14,1,5,0,0,45,0,>50K
47,1,4,15,3,5,0,0,40,0,>50K
31,0,0,13,1,3,0,0,50,0,>50K
39,0,0,13,1,4,0,0,40,0,>50K
48,0,3,9,1,8,0,1,40,5,>50K
51,0,1,10,2,1,0,0,48,0,>50K
28,2,0,13,1,5,0,0,50,0,>50K
50,1,0,13,1,4,0,0,40,16,>50K
24,2,0,13,1,4,0,0,40,0,>50K
63,2,0,13,1,9,0,0,40,0,>50K
28,4,0,13,1,6,0,0,65,0,>50K
51,3,0,13,1,5,0,0,50,0,>50K
48,1,0,13,6,3,0,0,50,0,>50K
65,0,4,15,1,5,0,0,60,0,>50K
51,1,1,10,2,1,0,0,8,3,>50K
49,0,10,14,1,4,0,0,45,0,>50K
36,0,0,13,1,3,0,0,45,0,>50K
63,0,2,7,1,12,0,0,37,0,>50K
56,0,1,10,1,9,0,0,60,0,>50K
39,0,10,14,1,4,0,0,50,0,>50K
42,2,0,13,1,5,0,0,40,0,>50K
53,0,3,9,1,4,0,0,35,0,>50K
27,0,3,9,1,5,0,0,45,0,>50K
48,4,10,14,1,5,0,0,50,0,>50K
37,0,1,10,1,1,0,0,40,0,>50K
49,0,3,9,1,4,0,0,55,0,>50K
56,1,14,3,1,4,0,0,67,0,>50K
29,0,0,13,3,4,0,1,45,0,>50K
45,0,3,9,1,7,0,0,45,0,>50K
35,0,1,10,1,8,0,1,20,0,>50K
26,0,0,13,3,5,0,1,40,0,>50K
55,0,0,13,1,4,0,0,50,0,>50K
39,0,0,13,1,4,0,0,40,0,>50K
38,0,10,14,1,5,0,0,40,2,>50K
47,0,1,10,1,7,1,0,40,15,>50K
49,5,0,13,1,5,0,0,42,0,>50K
51,1,10,14,1,4,0,0,42,0,>50K
33,0,3,9,1,10,0,0,60,0,>50K
90,0,3,9,1,1,0,0,50,26,>50K
46,0,10,14,1,4,0,0,45,0,>50K
46,0,3,9,1,6,0,0,56,0,>50K
38,0,1,10,1,4,0,0,50,0,>50K
47,3,0,13,3,8,4,0,40,0,>50K
51,0,10,14,1,12,0,0,40,0,>50K
36,0,1,10,1,7,0,0,40,0,>50K
48,2,0,13,2,3,0,0,60,0,>50K
51,0,10,14,1,5,0,1,40,0,>50K
43,0,0,13,1,4,0,0,50,0,>50K
32,4,1,10,1,1,0,0,60,0,>50K
35,0,4,15,3,5,1,0,40,7,>50K
45,0,1,10,1,4,0,0,40,0,>50K
60,3,0,13,1,8,4,0,40,0,>50K
50,0,3,9,1,1,0,0,40,0,>50K
51,5,6,11,2,0,0,0,39,0,>50K
53,0,0,13,1,4,0,0,50,0,>50K
38,0,3,9,1,1,0,0,50,0,>50K
52,0,6,11,1,1,0,0,48,17,>50K
48,2,6,11,1,4,0,0,50,0,>50K
30,0,6,11,1,7,0,0,40,0,>50K
37,1,3,9,1,4,0,0,65,0,>50K
32,0,1,10,1,10,0,0,45,0,>50K
45,0,0,13,1,4,0,0,40,0,>50K
41,4,4,15,1,5,0,0,50,0,>50K
57,0,1,10,1,3,0,0,50,0,>50K
59,0,4,15,1,5,1,0,40,7,>50K
40,0,10,14,1,4,0,0,50,0,>50K
53,3,3,9,1,5,0,0,40,0,>50K
38,4,3,9,1,8,0,1,35,0,>50K
36,0,0,13,3,5,0,1,45,0,>50K
45,3,1,10,5,0,0,1,45,0,>50K
57,0,3,9,1,10,0,0,40,0,>50K
36,0,1,10,1,3,0,0,45,0,>50K
29,0,0,13,3,3,0,0,50,0,>50K
48,0,10,14,1,10,0,0,55,0,>50K
55,0,10,14,1,0,0,0,20,0,>50K
42,4,1,10,1,4,0,0,40,0,>50K
37,0,1,10,1,10,0,0,40,0,>50K
30,0,4,15,1,5,1,0,20,7,>50K
55,0,1,10,1,4,0,0,70,0,>50K
56,4,0,13,1,5,0,0,40,0,>50K
43,5,3,9,2,8,0,1,50,0,>50K
39,0,10,14,1,5,0,0,50,0,>50K
37,0,4,15,1,5,0,0,40,0,>50K
41,0,3,9,1,4,0,0,40,0,>50K
38,0,1,10,1,3,0,0,50,0,>50K
36,0,0,13,1,4,0,0,40,0,>50K
46,2,0,13,1,3,0,0,72,0,>50K
54,2,3,9,1,1,0,0,40,0,>50K
30,0,1,10,1,1,0,0,45,0,>50K
40,0,1,10,1,8,0,1,35,0,>50K
30,0,0,13,1,5,0,1,50,0,>50K
67,0,1,10,1,10,0,0,10,0,>50K
45,4,13,16,1,4,0,0,45,0,>50K
58,0,3,9,1,4,0,0,40,0,>50K
43,5,10,14,1,5,0,0,40,0,>50K
65,0,1,10,2,5,0,0,50,0,>50K
29,0,3,9,2,2,0,0,40,0,>50K
44,0,0,13,1,4,0,0,40,0,>50K
37,3,1,10,1,8,0,0,40,0,>50K
25,2,0,13,3,3,0,0,45,0,>50K
50,0,6,11,1,0,0,0,40,0,>50K
35,0,13,16,1,4,0,0,45,0,>50K
35,0,0,13,2,5,0,1,40,0,>50K
51,1,6,11,1,0,0,0,38,0,>50K
32,0,3,9,1,1,0,0,40,0,>50K
45,0,0,13,1,4,0,0,38,0,>50K
48,4,1,10,1,12,0,0,42,0,>50K
25,0,3,9,1,8,0,1,50,0,>50K
38,0,1,10,1,3,0,0,60,0,>50K
49,4,3,9,1,7,4,0,40,0,>50K
44,2,1,10,1,1,0,0,58,0,>50K
35,0,3,9,1,10,0,0,50,0,>50K
51,0,0,13,2,4,0,0,50,0,>50K
30,0,3,9,1,1,0,0,40,0,>50K
44,0,0,13,1,0,0,1,20,0,>50K
33,1,6,11,1,5,0,1,50,0,>50K
36,0,0,13,1,5,0,0,50,0,>50K
32,2,1,10,1,4,0,0,50,0,>50K
47,1,3,9,1,7,0,0,40,0,>50K
37,0,0,13,1,4,0,1,37,0,>50K
47,0,3,9,1,1,0,0,40,0,>50K
33,0,3,9,1,7,0,0,40,0,>50K
40,0,6,11,2,5,0,1,40,0,>50K
53,5,10,14,1,4,0,0,38,0,>50K
43,0,0,13,1,1,0,0,48,0,>50K
58,0,1,10,1,4,0,0,40,0,>50K
39,0,0,13,1,8,0,0,45,0,>50K
45,0,1,10,1,1,0,0,40,0,>50K
38,0,0,13,1,5,0,1,40,0,>50K
31,1,0,13,2,4,0,0,60,0,>50K
